label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels	most probable cluster
5725	124.0	176.63999938964844	100.0	118.96	174.08	96.0	125.36	182.0	102.1	87778	clade4sub5
5726	121.5999984741211	173.59999084472656	98.0	119.04	171.20000000000005	95.7	124.64	176.96	100.8	97453	clade5sub16
5727	123.36000061035156	185.59999084472656	99.4000015258789	120.0	181.52	97.7	128.56	190.08	102.0	93179	clade11sub3subsub9
5728	123.1999969482422	169.9199981689453	102.5999984741211	121.2	167.92000000000004	98.8	127.28	172.96	105.5	97784	clade1sub12
5729	126.55999755859376	176.16000366210938	98.20000457763672	124.24	172.08	95.5	131.92000000000002	180.4	99.7	103466	clade4sub5
5730	128.16000366210938	172.0	102.0	124.96	170.24	98.9	131.2	177.12	103.7	106790	zero
5731	130.239990234375	182.239990234375	96.4000015258789	127.36	176.72	95.0	132.96	184.24	98.6	86600	nocladesub11
5732	132.0	164.95999145507812	102.5999984741211	129.2	161.68	99.3	135.2	168.24	105.3	97323	clade11sub16subsub6
5733	143.1999969482422	176.95999145507812	99.0	140.08	174.88	95.9	145.84	180.0	102.0	71393	clade5sub16
5734	142.87998962402344	171.51998901367188	97.20000457763672	140.32	166.56	95.5	145.44	174.16	101.2	81076	clade2sub10
5735	144.3199920654297	172.47999572753906	102.0	141.44	166.4	98.2	146.16	174.08	103.6	93200	clade2sub10
5736	145.27999877929688	174.39999389648438	99.0	142.56	172.72	96.3	147.92000000000004	178.88	102.2	87650	clade7sub8
5737	154.0800018310547	166.39999389648438	98.4000015258789	149.20000000000005	163.84	96.1	158.48	171.6	98.8	99661	clade3.1sub41
5738	154.239990234375	180.3199920654297	100.4000015258789	150.0	174.08	97.6	156.08	183.2	101.5	120300	clade3.1sub52
5739	162.39999389648438	170.239990234375	101.20000457763672	160.8	165.52	97.2	168.64	172.96	104.1	153942	clade3.1sub11
5740	164.16000366210938	175.51998901367188	102.20000457763672	161.04	172.96	99.4	166.32	179.84	104.8	115304	clade1sub11
5741	164.95999145507812	173.9199981689453	98.20000457763672	162.24	169.6	95.7	167.76	176.72	100.6	115672	clade1sub19
5742	167.1999969482422	172.3199920654297	101.8000030517578	164.8	168.24	98.3	169.36	174.4	104.3	96211	clade3.2sub16
5743	167.67999267578125	176.16000366210938	103.5999984741211	165.92000000000004	174.4	98.1	170.24	178.24	106.6	100330	nocladesub11
5744	169.59999084472656	168.63999938964844	97.5999984741211	167.6	166.24	95.5	172.32	173.04	100.9	110032	nocladesub11
5745	172.47999572753906	171.36000061035156	99.4000015258789	169.12	169.04	96.6	175.6	173.36	102.7	111498	nocladesub12
5746	171.36000061035156	176.0	101.5999984741211	169.04	172.08	98.7	173.68	177.28	105.8	92777	nocladesub11
5747	173.75999450683594	166.55999755859375	100.0	171.04	164.4	97.7	176.24	170.32	103.6	108152	nocladesub11
5748	174.87998962402344	174.55999755859375	101.8000030517578	171.92000000000004	172.48	98.9	177.84	177.20000000000005	104.4	102787	nocladesub35
