label_id	max_midgut_endo	max_first_view	colour_midgut	colour_first_view
2288	1.0413044808648446e-11	1.0345365525927682e-11	255-24-215-202	255-101-252-104
2289	7.22115981081872e-08	4.427024030219352e-06	255-70-122-242	255-101-252-104
2290	3.996227952569208e-07	0.0010942267468208	255-53-243-148	255-70-122-242
2291	0.0001974230625804	0.0116527934177277	255-70-122-242	255-101-252-104
2292	4.8653979178265206e-14	2.074952456217695e-05	255-70-122-242	255-70-122-242
2293	6.818091576759128e-08	8.20322287340126e-05	255-51-172-246	255-70-122-242
2294	1.83702324429355e-11	1.8087060483874355e-08	255-70-122-242	255-212-231-53
2295	1.0431693248445825e-10	0.690891338952058	255-232-213-56	255-70-122-242
2296	2.489055448045037e-17	3.5676094770491024e-11	255-24-215-202	255-122-4-2
2297	9.77439294520832e-15	1.0764386558885856e-11	255-24-215-202	255-122-4-2
2298	1.8673111428098622e-16	7.079723170020738e-08	255-24-215-202	255-122-4-2
2299	1.3995702521957388e-15	0.0009414173043633	255-24-215-202	255-70-122-242
2300	2.0334054614921944e-19	6.895754615145559e-11	255-70-122-242	255-70-122-242
2301	1.5412086780882926e-25	5.645770446529872e-20	255-70-122-242	255-122-4-2
2302	1.461532473232636e-20	5.3507120906235656e-08	255-70-122-242	255-70-122-242
2303	3.265986094147929e-25	1.2589877416923968e-19	255-70-122-242	255-26-209-210
2304	8.732353443573079e-26	1.1823477312804168e-19	255-24-215-202	255-70-122-242
2305	1.816220801388108e-31	1.0564349967656551e-20	255-70-122-242	255-26-209-210
2306	2.672827738635987e-26	1.0973330468085691e-16	255-70-122-242	255-70-122-242
2307	4.906217817720878e-05	0.0001220132763015	255-122-4-2	255-70-122-242
2308	7.1890987105104645e-09	0.1609442098604553	255-232-213-56	255-70-122-242
2309	3.899959632432476e-05	0.0001385818397398	255-70-122-242	255-70-122-242
2310	2.2371064273159986e-12	0.0410336574329496	255-24-215-202	255-26-209-210
2311	5.512043376468171e-15	3.342485939507841e-14	255-24-215-202	255-122-4-2
2312	1.2718409111398408e-10	0.944529303103087	255-70-122-242	255-212-231-53
2313	0.2838592101675093	0.0575145649556619	255-51-172-246	255-101-252-104
2314	0.12984708601736	0.0356742486279453	255-128-254-83	255-101-252-104
2315	1.1251332231664563e-06	2.450283153607085e-06	255-70-122-242	255-254-152-44
2316	5.133906738817895e-08	2.3432246582805562e-07	255-70-122-242	255-26-209-210
2317	0.0046590240879192	0.2865747046207625	255-180-27-1	255-101-252-104
2318	0.0129371182110237	0.0039429107030119	255-24-215-202	255-212-231-53
2319	0.0035362000204543	0.5475538645246324	255-70-122-242	255-101-252-104
2320	2.102007748714348e-05	8.293721268931226e-07	255-128-254-83	255-70-122-242
2321	4.383013977794886e-12	2.758329539380505e-10	255-70-122-242	255-212-231-53
2322	4.44957113771486e-07	3.5935544307023456e-06	255-70-122-242	255-101-252-104
2323	2.302567697721649e-05	0.0005392356550173	255-70-122-242	255-101-252-104
2324	4.0004445263964813e-07	8.993479288634819e-07	255-51-172-246	255-101-252-104
2325	9.251220432558835e-13	5.842975723484716e-11	255-24-215-202	255-122-4-2
2326	6.70908928490086e-09	1.8205160323286007e-08	255-51-172-246	255-101-252-104
2327	9.015530750785406e-16	2.288620181408938e-13	255-24-215-202	255-122-4-2
2328	2.35996109497438e-13	1.0047392399634371e-10	255-24-215-202	255-122-4-2
2329	1.837133437399799e-11	2.767121196438704e-12	255-70-122-242	255-101-252-104
2330	4.2448932900365727e-14	2.178901594738986e-11	255-51-172-246	255-101-252-104
2331	2.8166810937966196e-11	6.457884877528291e-10	255-51-172-246	255-26-209-210
2332	8.009540881081479e-11	2.477059055567359e-10	255-70-122-242	255-26-209-210
2333	5.669013101602531e-12	1.7794814775099778e-11	255-70-122-242	255-122-4-2
2334	7.240173159884015e-11	1.4175781587009806e-11	255-70-122-242	255-212-231-53
2335	2.818778610926212e-15	6.158891105963417e-11	255-70-122-242	255-26-209-210
2336	2.3111803974281187e-19	1.3196364062924002e-15	255-24-215-202	255-122-4-2
2337	4.983826162061643e-15	6.708423189226095e-12	255-24-215-202	255-122-4-2
2338	1.3311461803841835e-22	1.0510452881079144e-17	255-24-215-202	255-122-4-2
2339	4.240047895825076e-15	8.088204947435189e-13	255-24-215-202	255-26-209-210
2340	2.9947191285552336e-21	2.2628420286599683e-17	255-24-215-202	255-122-4-2
2341	1.408847056644542e-20	1.5646915438143152e-17	255-24-215-202	255-122-4-2
2342	2.3540701326148774e-17	3.3238188059924e-15	255-24-215-202	255-122-4-2
2343	1.2385074821221453e-18	4.899655316187312e-15	255-24-215-202	255-122-4-2
2344	3.37391270598455e-20	3.736610835798667e-17	255-24-215-202	255-122-4-2
2345	6.180740052412451e-25	9.15486949727801e-21	255-24-215-202	255-122-4-2
