label_id	Cardiovascular system	Midgut	Sensory Motile Cilia	Nervous System	Stem cells	Somatic musculature	Epidermis	Gland cells	Heme/chitin	Anterior nervous system	Enteric nervous system	zero	autofluorescence	most probable cluster
37	4.396265803431763e-12	2.550339530775776e-13	0.9992324312056354	0.0007673550479736804	1.4618569159903764e-07	1.2179492698344853e-15	4.1662711849972017e-10	2.682231983700532e-10	6.684390139208436e-08	1.9559232934934313e-13	2.709948888508649e-11	1.0327562579199982e-85	0.0	Sensory Motile Cilia
38	3.337479736677494e-27	1.2069809780442445e-26	0.9188152994459181	0.0811847005537363	3.4430480877518203e-13	4.652603861032825e-28	1.8511387550573157e-20	2.78686211563728e-18	1.31077500705308e-15	9.541035143538965e-25	2.656612366480423e-19	3.70713005833814e-215	2.4631236924426474e-252	Sensory Motile Cilia
39	5.5580714824424104e-18	1.2347792597934162e-20	0.04349453422846584	0.9565054648517423	5.6735959137233215e-11	7.18125840941702e-23	5.09323919946339e-15	2.1750584036417342e-14	5.4588238242781775e-14	8.629663619494779e-10	8.170890481191988e-15	6.02482979336385e-154	4.4707714199386785e-281	Nervous System
40	4.1120320690619325e-06	2.935337323981817e-05	0.33103357141322404	0.112034848972639	0.23558545673253578	5.428144533058121e-09	0.0027586536816602996	0.049380924881563135	0.26886570935864085	2.8973735603055663e-09	0.0003073612289099927	7.206420879736204e-36	0.0	Sensory Motile Cilia
41	1.3748227975762522e-07	4.601180970923519e-07	0.07461249201176084	0.014307186857840336	0.1632007255668616	1.0490061653408594e-07	0.43994475264564326	0.018129698679827836	0.2897717440709324	1.1430012327598762e-10	3.26975518401413e-05	2.763453963217469e-68	0.0	Epidermis
42	5.856584925328533e-30	3.902746618246936e-32	0.016128082548823433	0.9838719174511631	5.694067604632488e-15	8.799086101005221e-27	5.0872774285362587e-17	2.0136104775329044e-24	7.684335264074533e-15	2.4408660886007532e-23	8.703018671918332e-32	0.0	8.028504357648282e-202	Nervous System
43	3.3812467932669017e-22	7.47940645073814e-21	0.0003408597033152997	0.9996591401811984	5.149548627625673e-11	7.06444060150738e-21	3.5704717742186096e-12	1.1325014584860624e-20	6.028538069794694e-11	1.350683942828301e-13	3.303741416672601e-20	1.9095061407509123e-158	1.4013926378523968e-276	Nervous System
44	3.4380824335976854e-14	1.375957334759043e-14	0.12782756731154435	0.8721724018962669	2.8174471172114414e-08	1.1098330673460406e-16	5.1038463745649145e-12	9.267605921164025e-12	5.659930281510486e-11	2.394689459670123e-09	1.520088790804655e-10	1.0811433053218082e-105	0.0	Nervous System
45	7.762388240915077e-28	4.072840274256235e-25	2.211635186237236e-05	0.999977883648034	7.386230859547451e-14	5.995189027704568e-24	4.255824584386166e-18	6.044915638962146e-23	2.889263707712556e-14	7.783221007381445e-16	2.4323708942360077e-18	1.0556180747816444e-189	7.330792704143928e-263	Nervous System
46	1.0425976259044224e-07	4.636344083366095e-06	0.9981762395657853	0.0005812002420295447	0.0003444030472809054	1.0865109589396814e-09	0.000668337239509344	3.1337768625552233e-09	0.00012169056809362184	1.6067936856324452e-05	8.73165763107285e-05	1.795727942175057e-54	0.0	Sensory Motile Cilia
47	6.762615832308181e-21	1.0249645868374205e-18	0.999998402767715	1.1793743637044423e-06	3.8799811594918414e-07	2.4620468544345525e-20	1.3890609316678987e-08	1.258886337491888e-22	1.5969195870184973e-08	4.195326119173409e-21	2.333912993167195e-25	2.938200114753704e-158	2.13265799329288e-267	Sensory Motile Cilia
48	0.562439008069867	0.0003412125889835705	0.0002649485724397765	0.002118832355748543	0.013367971132392239	0.4213189211374328	0.0001328240075086057	1.4096356229932002e-05	2.873452735971628e-07	5.560383249821617e-09	1.892873740742018e-06	2.588515258476882e-83	0.0	Cardiovascular system
