label_id	anchor_x	anchor_y	anchor_z	cell_id	kevin_head_traces_id	david_motorneuron_2nd_segment_traces_id	most_probable_broad_type	most_probable_subtype
3719	215.36	202.96	68.9	5858	381	0	Anterior nervous system	clade11sub30
3721	219.36	195.52	65.5	6101	555	0	Anterior nervous system	clade11sub56
3727	223.92	194.4	66.1	6342	557	0	Anterior nervous system	clade11sub45subsub1
3746	166.0	220.24	64.6	6117	62	0	Developing neurons	clade11sub48
3748	168.56	210.08	64.3	5647	222	0	Central nervous system	clade11sub48
3749	169.6	216.8	62.1	5876	61	0	Anterior nervous system	clade11sub48
3750	170.16	213.92	65.2	6120	216	0	Central nervous system	clade11sub48
3751	169.6	218.96	66.5	6392	63	0	Developing neurons	clade11sub8subsub0
3752	172.32	209.84	65.8	5865	620	0	Central nervous system	clade11sub8subsub8
3753	172.88	216.64	62.6	5877	215	0	Developing neurons	clade11sub48
3754	173.6	204.56	67.7	5628	624	0	Central nervous system	clade11sub7subsub6
3771	201.6	212.24	62.8	5870	137	0	Central nervous system	clade11sub15subsub4
3806	197.68	121.52	72.2	6934	67	0	Central nervous system	nocladesub19
3808	200.16	117.84	70.1	6932	55	0	Motile cilia	clade10sub3subsub5-9
3844	178.96	138.16	69.9	6980	702	0	Motile cilia	clade10sub24
3845	181.36	141.04	69.5	6465	701	0	Motile cilia	clade10sub14
3846	182.32	136.64	68.7	6466	700	0	Macrophage	nocladesub35
3848	181.6	145.52	68.0	6500	711	0	Motile cilia	clade10sub24
3851	186.96	143.52	67.7	6467	707	0	Gland cells	clade13sub9
3852	185.84	138.64	72.7	6215	709	0	Somatic musculature	clade3.2sub16
3855	190.32	140.64	69.2	6217	706	0	Somatic musculature	clade3.1sub11
3888	226.24	144.0	67.2	6255	242	0	Central nervous system	clade11sub8subsub0
3890	232.32	138.32	69.2	6479	57	0	Central nervous system	clade11sub8subsub0
3891	230.64	140.96	72.8	6478	86	0	Developing neurons	clade11sub48
3892	234.56	141.92	68.5	6737	59	0	Central nervous system	clade11sub48
3918	185.92	148.64	68.7	5751	692	0	Motile cilia	clade10sub24
3920	187.68	151.28	68.0	6248	695	0	zero	zero
3922	190.0	147.12	70.6	5953	694	0	Midgut	clade1sub12
3923	191.68	152.24	69.2	5754	696	0	Gland cells	clade5sub16
3933	206.32	162.24	69.0	6782	135	0	Developing neurons	clade11sub1subsub10
3944	220.72	164.64	68.6	6533	3	0	Central nervous system	clade11sub8subsub0
3945	222.8	162.56	71.8	6284	293	0	Central nervous system	clade11sub7subsub6
3948	226.8	161.04	68.9	6535	311	0	Adult eye	nocladesub7
3950	229.04	164.4	69.8	7033	317	0	Developing neurons	clade11sub4subsub7
3956	236.56	162.48	71.7	7265	309	0	Adult eye	nocladesub3
4004	186.72	186.32	68.3	6815	47	0	Stem cells	clade3.2sub17
4013	213.12	179.44	71.0	7299	109	0	Central nervous system	clade11sub15subsub4
4023	224.88	166.56	69.1	6568	21	0	Central nervous system	clade11sub15subsub4
4024	224.88	169.52	69.3	7059	82	0	Central nervous system	clade11sub15subsub4
4025	228.08	172.64	67.5	6307	84	0	Developing neurons	clade11sub15subsub4
4029	229.04	168.4	70.8	7288	315	0	Central nervous system	clade11sub8subsub1-4
4030	228.24	171.28	72.1	7289	313	0	Central nervous system	clade11sub15subsub4
4032	234.16	168.96	71.6	7290	319	0	Developing neurons	clade13sub7
4035	233.2	180.32	74.4	7514	725	0	Anterior nervous system	clade11sub27subsub7
4057	150.96	192.0	69.9	6620	677	0	Motile cilia	clade10sub9
4059	153.44	188.56	69.2	6826	69	0	Motile cilia	clade9sub16
4061	155.04	194.64	72.7	7308	676	0	Motile cilia	clade9sub11
4072	171.36	207.52	69.3	6844	625	0	Central nervous system	clade11sub7subsub6
4078	178.72	202.72	71.4	6878	623	0	Central nervous system	clade11sub9subsub3
4085	189.28	188.08	70.5	7077	13	0	Motile cilia	clade11sub22subsub7
4097	218.24	197.44	67.6	6859	385	0	Anterior nervous system	clade11sub30
