label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	n_traces	sources	cell_id	kevin_head_traces_id	david_motorneuron_2nd_segment_traces_id
2693	132.0	155.36	48.3	128.96	152.16	35.50	150.32	158.56	50.50	0	1	kevin	4065	638	0
2694	132.88	155.6	51.0	130.32	151.76	35.90	144.24	159.20	52.80	0	1	kevin	4244	637	0
2695	133.84	147.6	48.0	127.92	138.80	41.00	148.88	181.04	60.80	0	1	kevin	3877	636	0
2703	152.0	157.84	48.5	149.36	155.60	32.50	175.44	178.00	53.40	0	1	kevin	3907	525	0
2710	181.6	147.2	51.0	160.40	144.24	41.50	191.04	182.72	54.10	0	1	kevin	4411	594	0
2712	198.88	150.4	48.7	192.80	145.28	45.50	202.08	153.68	53.20	0	1	kevin	3898	451	0
2713	204.48	152.72	48.1	198.64	148.32	45.90	209.28	156.00	55.90	0	1	kevin	4059	431	0
2714	206.8	150.08	48.1	191.04	148.00	45.10	212.24	154.00	56.20	0	1	kevin	3899	12	0
2716	212.16	153.84	49.3	197.44	147.68	47.90	216.00	156.96	53.70	0	1	kevin	4238	435	0
2717	210.4	146.8	48.5	191.28	143.68	47.80	215.12	153.52	57.10	0	1	kevin	4237	10	0
2720	213.2	149.28	51.3	197.04	147.04	48.40	216.24	151.60	54.50	0	1	kevin	4239	449	0
2726	220.16	146.96	47.1	195.68	144.96	45.30	223.44	149.68	52.30	0	1	kevin	4061	461	0
2747	134.64	181.92	48.7	131.52	172.16	44.90	202.72	199.60	75.50	0	1	kevin	4104	615	0
2748	135.44	177.44	50.1	132.56	168.32	47.70	169.52	191.68	59.80	0	1	kevin	4277	614	0
2754	144.88	168.72	48.4	141.44	161.04	35.60	199.20	189.84	59.90	0	1	kevin	4085	604	0
2755	146.08	173.84	48.9	142.40	161.44	37.70	191.84	184.00	51.70	0	1	kevin	4086	613	0
2763	157.84	180.48	51.8	140.88	158.56	14.80	186.16	185.20	54.00	0	1	kevin	1901	562	0
2811	151.76	197.6	53.3	146.88	192.64	49.50	170.88	202.64	53.70	0	1	kevin	4482	8	0
2825	172.16	198.48	48.0	164.32	186.00	45.40	175.12	202.40	51.90	0	1	kevin	4304	505	0
2829	173.28	201.36	51.8	170.64	178.32	46.10	185.28	205.20	59.00	0	1	kevin	4490	523	0
2830	177.28	202.8	48.3	158.80	167.84	45.80	181.28	206.24	57.30	0	1	kevin	4136	507	0
2831	177.12	199.84	52.4	174.24	182.72	48.10	191.44	203.60	55.80	0	1	kevin	4492	513	0
2832	176.64	205.76	51.5	170.96	180.56	48.70	178.72	209.12	56.90	0	1	kevin	4491	509	0
2836	180.4	197.2	51.3	172.72	186.48	48.70	183.36	200.24	54.20	0	1	kevin	4493	503	0
2913	199.04	121.68	53.1	179.28	117.20	21.00	203.04	129.28	56.00	0	1	kevin	2987	535	0
2922	217.2	123.36	56.2	204.24	117.60	51.60	222.00	158.00	58.20	0	1	kevin	4683	547	0
3075	147.84	199.44	54.7	143.76	182.16	44.40	168.72	203.92	57.50	0	1	kevin	4965	90	0
3080	156.24	201.76	56.8	153.92	184.24	48.40	191.20	205.60	58.20	0	1	kevin	4967	94	0
3087	175.52	201.2	54.2	171.44	124.56	35.50	199.84	204.72	57.40	0	1	kevin	4806	515	0
3113	225.76	197.36	54.6	204.32	184.56	50.10	228.96	199.92	67.10	0	1	kevin	4497	559	0
3127	179.76	217.92	54.3	176.96	175.68	34.20	196.88	221.04	62.70	0	1	kevin	4670	633	0
3129	182.32	215.68	56.1	177.44	183.28	46.40	199.12	219.60	59.50	0	1	kevin	4985	628	0
3154	149.52	122.16	61.7	147.04	117.68	56.10	167.60	127.84	109.30	0	1	kevin	5449	545	0
3155	150.96	119.6	59.8	148.32	117.04	56.90	167.84	128.32	94.80	0	1	kevin	5219	541	0
3157	154.16	120.56	60.0	149.68	115.44	56.20	167.28	128.00	110.50	0	1	kevin	5220	539	0
3180	215.28	124.32	58.2	203.52	118.00	52.10	221.28	162.80	60.80	0	1	kevin	4853	549	0
3220	223.36	139.12	57.8	201.36	124.88	54.00	232.32	162.24	59.50	0	1	kevin	5039	253	0
3221	223.04	132.64	56.5	194.00	129.84	39.20	225.04	178.24	60.80	0	1	kevin	5040	255	0
3222	225.44	136.16	59.8	198.72	133.20	53.50	228.96	176.08	68.40	0	1	kevin	5279	251	0
3223	225.68	128.8	59.6	197.36	126.32	39.50	228.80	178.88	62.40	0	1	kevin	5254	248	0
3224	225.28	145.44	59.4	195.60	143.04	52.30	241.84	183.60	65.10	0	1	kevin	5506	236	0
3225	227.44	132.64	57.6	209.84	130.08	55.20	230.40	157.28	59.70	0	1	kevin	5041	244	0
