label_id	clusters	morphologyColourScheme
8357	2	255-7-197-226
8916	7	255-98-132-2
8524	5	255-181-131-84
8344	8	255-222-69-200
8725	5	255-181-131-84
2487	9	255-0-76-255
8145	8	255-222-69-200
8910	8	255-222-69-200
8535	2	255-7-197-226
8738	9	255-0-76-255
8742	8	255-222-69-200
8370	6	255-209-164-255
8743	9	255-0-76-255
8361	8	255-222-69-200
8945	5	255-181-131-84
8924	5	255-181-131-84
8372	8	255-222-69-200
8755	5	255-181-131-84
8544	5	255-181-131-84
8946	5	255-181-131-84
8745	5	255-181-131-84
8947	10	255-114-16-255
8928	2	255-7-197-226
8545	2	255-7-197-226
8557	5	255-181-131-84
8948	5	255-181-131-84
8949	5	255-181-131-84
8546	4	255-254-141-100
8748	5	255-181-131-84
8363	10	255-114-16-255
8749	2	255-7-197-226
8365	5	255-181-131-84
8930	5	255-181-131-84
5927	3	255-98-0-122
6487	7	255-98-132-2
7835	6	255-209-164-255
8564	6	255-209-164-255
8761	2	255-7-197-226
8551	9	255-0-76-255
8760	6	255-209-164-255
8167	6	255-209-164-255
8567	2	255-7-197-226
8384	9	255-0-76-255
8763	2	255-7-197-226
8568	2	255-7-197-226
8414	2	255-7-197-226
8572	2	255-7-197-226
8387	4	255-254-141-100
8390	4	255-254-141-100
8168	9	255-0-76-255
8020	6	255-209-164-255
8389	9	255-0-76-255
8391	4	255-254-141-100
8653	10	255-114-16-255
8217	3	255-98-0-122
7595	9	255-0-76-255
8393	9	255-0-76-255
7992	3	255-98-0-122
6712	9	255-0-76-255
8395	6	255-209-164-255
8937	8	255-222-69-200
8576	1	255-147-172-58
8401	4	255-254-141-100
8191	8	255-222-69-200
8421	8	255-222-69-200
8193	5	255-181-131-84
8794	5	255-181-131-84
8770	5	255-181-131-84
8771	5	255-181-131-84
8422	9	255-0-76-255
8971	2	255-7-197-226
8597	9	255-0-76-255
7010	9	255-0-76-255
7438	9	255-0-76-255
8074	6	255-209-164-255
7848	6	255-209-164-255
8030	6	255-209-164-255
8798	9	255-0-76-255
8407	6	255-209-164-255
8033	6	255-209-164-255
8799	6	255-209-164-255
8974	2	255-7-197-226
8803	1	255-147-172-58
8775	6	255-209-164-255
8234	6	255-209-164-255
8958	5	255-181-131-84
8382	1	255-147-172-58
8804	6	255-209-164-255
8783	2	255-7-197-226
8601	6	255-209-164-255
8206	6	255-209-164-255
8784	6	255-209-164-255
8785	1	255-147-172-58
8590	6	255-209-164-255
8786	6	255-209-164-255
8430	6	255-209-164-255
8604	2	255-7-197-226
8592	2	255-7-197-226
8787	1	255-147-172-58
8810	2	255-7-197-226
8417	2	255-7-197-226
8811	2	255-7-197-226
8831	2	255-7-197-226
8272	2	255-7-197-226
8593	2	255-7-197-226
