label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	n_traces	trust	nucleus_id	traces
20070	134.60	125.77	140.74	134.06	122.03	139.84	139.31	129.05	149.92	108	1	none	0	70
20071	134.33	125.88	140.74	113.15	123.59	135.95	136.70	130.70	143.11	128	1	none	0	71
20072	132.81	127.85	140.97	132.10	126.44	138.17	132.94	129.17	143.00	52	1	none	0	72
20073	132.43	125.21	140.99	121.26	113.50	101.93	135.69	140.31	159.96	386	1	none	0	73
20080	134.59	125.45	141.29	107.64	122.19	138.16	139.02	130.53	145.82	184	1	none	0	80
20090	133.20	125.44	142.26	126.47	124.18	141.78	134.49	133.50	143.72	106	1	none	0	90
20101	133.10	125.14	143.16	132.68	124.00	142.91	133.43	125.67	143.56	36	1	none	0	101
20104	132.42	125.49	143.45	110.54	88.89	137.81	140.26	136.51	154.29	368	1	none	0	104
20107	148.78	91.64	143.75	133.54	81.14	143.75	148.79	91.64	146.21	124	1	none	0	107
20109	145.19	94.96	143.75	134.31	94.96	143.75	145.19	124.07	152.66	410	1	none	0	109
20116	132.86	123.85	144.14	132.58	123.21	141.47	134.89	125.42	144.29	54	1	none	0	116
20117	151.48	96.53	144.22	123.47	96.53	144.22	151.48	103.29	173.29	668	1	none	0	117
20119	131.25	122.62	144.26	118.67	114.79	110.71	150.02	138.26	145.71	516	1	none	0	119
20120	132.10	122.49	144.86	124.78	114.25	133.51	147.74	142.71	145.91	268	1	none	0	120
20125	132.19	122.73	145.91	121.62	122.19	135.37	136.46	148.18	163.02	338	1	none	0	125
20128	147.38	93.65	146.20	136.08	93.65	143.74	147.55	109.92	150.82	182	1	none	0	128
20129	144.09	96.43	146.20	137.09	95.41	139.98	144.11	111.23	150.82	414	1	none	0	129
20136	130.34	122.46	147.09	121.71	118.06	146.30	137.92	141.50	148.76	218	1	none	0	136
20142	133.10	111.78	147.86	90.61	49.94	81.26	153.16	158.26	234.18	3338	1	none	0	142
20144	129.02	122.66	148.20	129.02	84.53	148.20	140.19	122.66	155.50	400	1	none	0	144
20146	129.12	121.60	148.34	90.61	49.94	81.26	153.16	158.26	234.18	3942	1	none	0	146
20147	128.83	121.72	148.52	111.84	104.35	141.33	135.83	134.55	222.20	1180	1	none	0	147
20152	129.13	122.33	148.81	113.25	79.60	136.10	214.44	128.22	180.88	1910	1	none	0	152
20156	129.49	121.82	149.16	114.22	116.47	143.48	139.21	129.10	151.61	308	1	none	0	156
20157	129.12	122.08	149.21	124.35	106.01	136.40	136.65	128.80	153.19	286	1	none	0	157
20159	129.41	119.41	149.32	114.53	103.75	149.12	129.41	120.37	159.62	190	1	none	0	159
